ret_mean,ret_std,n
2.335720357844462e-05,4.251247686783252e-05,10
2.439148038166916e-05,4.2003856295803156e-05,10
2.2380211101680203e-05,4.218295471960797e-05,10
2.310515676215985e-05,4.1816298577456854e-05,10
2.0910496804904532e-05,4.245489911715958e-05,10
2.310510859788728e-05,4.0516337407576796e-05,10
1.588216270684839e-05,2.7743755284861717e-05,10
7.094819197628333e-06,1.1584388544419027e-05,10
1.15409523134824e-05,1.6179621206153912e-05,10
1.098031314616943e-05,1.6502029130855482e-05,10
1.0700025911680732e-05,1.673146073544347e-05,10
2.2249714700683933e-05,4.0059025421705455e-05,10
2.1254112748136934e-05,4.051958688277011e-05,10
2.0529167087657284e-05,4.0861396809844356e-05,10
1.8567397815305586e-05,4.239853510030967e-05,10
1.8567397815305586e-05,4.239853510030967e-05,10
1.0023653360702323e-05,4.652307850169247e-05,10
9.927007001808708e-06,4.6546989771305725e-05,10
5.48087388595464e-06,4.4978816294319325e-05,10
4.553077333180333e-06,4.519958275986788e-05,10
3.837906947101732e-06,4.538510262645077e-05,10
-8.74605864512601e-06,1.5220631977645525e-05,10
-8.74605864512601e-06,1.5220631977645525e-05,10
-8.755723378417457e-06,1.5214490827802083e-05,10
-6.793954106065758e-06,1.4920237961274516e-05,10
-4.725700979724134e-06,1.7222544118771658e-05,10
-6.823130553057499e-06,2.3261521068600912e-05,10
-2.860405107096842e-06,2.7396269500830577e-05,10
1.3727877641422915e-06,3.092996774593912e-05,10
2.3005843169165984e-06,3.071337761195507e-05,10
3.296041937483896e-06,3.043207089209276e-05,10
3.296041937483896e-06,3.043207089209276e-05,10
3.296041937483896e-06,3.043207089209276e-05,10
3.3057066707753437e-06,3.0430889034608157e-05,10
3.3057066707753437e-06,3.0430889034608157e-05,10
1.227789129631951e-06,2.9815722198610683e-05,10
5.808806523799337e-06,1.966763416837655e-05,10
1.9330619290047756e-06,1.5913858166591674e-05,10
-2.2904663051437347e-06,7.243234490745177e-06,10
-2.2904663051437347e-06,7.243234490745177e-06,10
-2.2904663051437347e-06,7.243234490745177e-06,10
-1.324002689251369e-06,8.168487775280747e-06,10
4.494052048975572e-06,2.055090865668077e-05,10
3.498662057599411e-06,2.102828100779855e-05,10
3.498662057599411e-06,2.102828100779855e-05,10
4.503726371885009e-06,2.1077478830862467e-05,10
1.0292553839896802e-05,2.0658705798373052e-05,10
1.702811261344861e-05,2.6951839311135735e-05,10
1.1056382175633761e-05,3.616222495705402e-05,10
5.780074199668306e-06,4.142147121820451e-05,10
1.544415182772596e-05,5.025485986647963e-05,10
1.7376631344134806e-05,5.0379322793540385e-05,10
1.1568239469550435e-05,4.846413365006878e-05,10
2.1260205908657515e-05,5.314674905199196e-05,10
2.1260205908657515e-05,5.314674905199196e-05,10
2.2197210500085608e-05,5.300768397312595e-05,10
2.150078192665328e-05,5.2866588817700935e-05,10
3.0803421116643025e-05,6.788373952021781e-05,10
3.676548691736725e-05,6.136475028892942e-05,10
