feature,importance
log_return_300s,0.12287392989647519
spread_mean_300s,0.105915040971481
trade_intensity_300s,0.10096888079582898
order_book_imbalance_300s,0.09509507204864265
spread_mean_60s,0.0832587028331667
order_book_imbalance_60s,0.06976444333939101
price_velocity_300s,0.06964440874790197
realized_volatility_300s,0.06358022333819659
order_book_imbalance_30s,0.04295603550463906
realized_volatility_60s,0.040382692309889424
spread_mean_30s,0.03864699343505519
trade_intensity_30s,0.03740646163626976
price_velocity_60s,0.02755417788266819
price_velocity_30s,0.026104665865694994
trade_intensity_60s,0.02466203976952284
realized_volatility_30s,0.02434410578825437
log_return_60s,0.014546412728914274
log_return_30s,0.012295713108007908
volume_velocity_60s,0.0
volume_velocity_30s,0.0
volume_velocity_300s,0.0
